clock,t_s,action,itemId,by,goldGain
14:22,862,DESTROYED,2055,Janna,
14:37,877,DESTROYED,3866,Seraphine,
14:37,877,DESTROYED,1203,Seraphine,
14:40,881,DESTROYED,1028,Shen,
14:40,881,PURCHASED,3801,Shen,
15:01,901,DESTROYED,3067,Seraphine,
15:01,901,DESTROYED,4642,Seraphine,
15:01,901,PURCHASED,6620,Seraphine,
15:01,902,DESTROYED,3867,Seraphine,
15:01,902,PURCHASED,3870,Seraphine,
15:03,903,DESTROYED,2055,Seraphine,
15:03,903,DESTROYED,1208,Seraphine,
15:03,903,PURCHASED,2055,Seraphine,
15:34,934,PURCHASED,1058,Locke,
15:46,947,PURCHASED,1038,Aphelios,
15:58,959,DESTROYED,2055,Seraphine,
16:07,968,DESTROYED,3147,Diana,
16:07,968,DESTROYED,3108,Diana,
16:07,968,PURCHASED,4633,Diana,
16:23,983,DESTROYED,3133,Riven,
16:23,983,DESTROYED,1037,Riven,
16:23,983,PURCHASED,2517,Riven,
16:25,985,DESTROYED,2001,Locke,
16:25,985,DESTROYED,2001,Ashe,
16:25,985,DESTROYED,2001,Seraphine,
16:25,985,DESTROYED,2001,Ekko,
16:25,985,DESTROYED,3364,Ekko,
16:30,990,DESTROYED,2002,Ashe,
16:30,991,DESTROYED,2002,Ekko,
16:31,991,DESTROYED,1043,Ekko,
16:31,991,PURCHASED,3115,Ekko,
16:35,995,DESTROYED,1042,Ashe,
16:35,995,PURCHASED,3086,Ashe,
16:41,1001,DESTROYED,2002,Locke,
16:41,1002,DESTROYED,3340,Ashe,
16:41,1002,PURCHASED,3363,Ashe,
16:42,1002,DESTROYED,1058,Locke,
16:42,1002,DESTROYED,2420,Locke,
16:42,1002,PURCHASED,3157,Locke,
16:42,1003,DESTROYED,1011,Shen,
16:42,1003,DESTROYED,3801,Shen,
16:42,1003,DESTROYED,1011,Shen,
16:42,1003,PURCHASED,3084,Shen,
16:45,1006,DESTROYED,3340,Shen,
16:45,1006,PURCHASED,3363,Shen,
16:46,1006,PURCHASED,2055,Shen,
16:47,1007,DESTROYED,1042,Ashe,
16:47,1007,DESTROYED,3086,Ashe,
16:47,1007,DESTROYED,1042,Ashe,
16:47,1007,PURCHASED,3046,Ashe,
16:47,1008,DESTROYED,3113,Janna,
16:47,1008,DESTROYED,4642,Janna,
16:47,1008,PURCHASED,2065,Janna,
16:51,1012,PURCHASED,1028,Janna,
17:06,1026,PURCHASED,1018,Aphelios,
17:09,1029,DESTROYED,2055,Riven,
17:26,1046,DESTROYED,2002,Seraphine,
17:27,1048,DESTROYED,2055,Shen,
17:29,1050,PURCHASED,1028,Seraphine,
17:30,1050,PURCHASED,1004,Seraphine,
